title,region,language,titleType,primaryTitle,startYear,genres,averageRating,numVotes,isAdult
Wake in Fright,GB,en,movie,Wake in Fright,1971,"Drama,Thriller",7.7,9582,0.0
The Sidelong Glances of a Pigeon Kicker,US,en,movie,The Sidelong Glances of a Pigeon Kicker,1970,Comedy,5.8,60,0.0
Summer of '42,US,en,movie,Summer of '42,1971,"Drama,Romance",7.3,6907,0.0
Are You Being Served?,GB,en,tvSeries,Are You Being Served?,1972,Comedy,8.0,6725,0.0
The New Price Is Right,US,en,tvSeries,The Price Is Right,1972,"Family,Game-Show,Reality-TV",7.5,3149,0.0
Dracula A.D. 1972,GB,en,movie,Dracula A.D. 1972,1972,Horror,6.0,5263,0.0
The Godfather,US,en,movie,The Godfather,1972,"Crime,Drama",9.2,1546076,0.0
Star Trek: The Animated Series,US,en,tvSeries,Star Trek: The Animated Series,1973,"Action,Adventure,Animation",7.5,5588,0.0
"Brother Sun, Sister Moon",GB,en,movie,"Brother Sun, Sister Moon",1972,"Biography,Drama,History",7.2,4021,0.0
Don't Look in the Basement,US,en,movie,Don't Look in the Basement,1973,"Horror,Thriller",5.1,2767,0.0
The Exorcist,US,en,movie,The Exorcist,1973,Horror,8.0,350313,0.0
The Hourglass Sanatorium,GB,en,movie,The Hourglass Sanatorium,1973,"Drama,Fantasy,Horror",7.7,3143,0.0
The Hourglass Sanatorium,US,en,movie,The Hourglass Sanatorium,1973,"Drama,Fantasy,Horror",7.7,3143,0.0
Death Wish,US,en,movie,Death Wish,1974,"Action,Crime,Drama",7.0,34128,0.0
"Reason, Debate and a Story",US,en,movie,"Reason, Debate and a Story",1974,Drama,7.2,334,0.0
The Klansman,US,en,movie,The Klansman,1974,"Crime,Drama,Thriller",5.2,1257,0.0
And Then There Were None,GB,en,movie,Ten Little Indians,1974,"Mystery,Thriller",5.7,2632,0.0
Ten Little Indians,US,en,movie,Ten Little Indians,1974,"Mystery,Thriller",5.7,2632,0.0
10 Little Indians,US,en,movie,Ten Little Indians,1974,"Mystery,Thriller",5.7,2632,0.0
The Secrets of Isis,US,en,tvSeries,The Secrets of Isis,1975,"Adventure,Family,Fantasy",6.8,865,0.0
Devil Woman,US,en,movie,Devil Woman,1973,"Action,Fantasy,Horror",4.8,86,0.0
Slade in Flame,GB,en,movie,Slade in Flame,1975,"Drama,Music,Musical",6.9,540,0.0
The Image,US,en,movie,The Image,1975,"Adult,Drama",6.2,1547,1.0
Open All Hours,GB,en,tvSeries,Open All Hours,1976,Comedy,7.6,4506,0.0
Once Upon a Time,US,en,movie,Once Upon a Time,1973,"Animation,Family,Fantasy",5.6,137,0.0
Are You Being Served?,GB,en,movie,Are You Being Served?,1977,"Action,Adventure,Comedy",6.3,2254,0.0
Star Wars: Episode IV - A New Hope,US,en,movie,Star Wars: Episode IV - A New Hope,1977,"Action,Adventure,Fantasy",8.6,1191009,0.0
The Gun,US,en,movie,The Gun,1978,"Crime,Drama",6.4,75,0.0
Jukebox,US,en,movie,Jukebox,1978,"Drama,Music",5.7,39,0.0
I Spit on Your Grave,US,en,movie,I Spit on Your Grave,1978,"Horror,Thriller",5.7,25116,0.0
Made in Iran,US,en,movie,Made in Iran,1978,"Crime,Drama",6.7,54,0.0
9 to 5,US,en,movie,9 to 5,1980,Comedy,6.8,26289,0.0
Star Wars: Episode V - The Empire Strikes Back,US,en,movie,Star Wars: Episode V - The Empire Strikes Back,1980,"Action,Adventure,Fantasy",8.7,1118481,0.0
Galaxy Express 999: The Signature Edition,US,en,movie,Galaxy Express 999,1979,"Action,Adventure,Animation",7.4,1781,0.0
The Shining,GB,en,movie,The Shining,1980,"Drama,Horror",8.4,853107,0.0
Vivian Stanshall's Sir Henry at Rawlinson End,GB,en,movie,Sir Henry at Rawlinson End,1980,Comedy,6.9,372,0.0
Demon Rage,US,en,movie,Satan's Mistress,1982,"Horror,Romance",3.3,369,0.0
Sweet Sixteen,US,en,movie,Sweet Sixteen,1983,"Horror,Thriller",5.2,1334,0.0
E.T. the Extra-Terrestrial,US,en,movie,E.T. the Extra-Terrestrial,1982,"Family,Sci-Fi",7.8,357012,0.0
G'olé!,GB,en,movie,G'olé!,1983,"Documentary,Sport",7.2,116,0.0
The Mission,US,en,movie,The Mission,1983,Drama,6.6,167,0.0
The Wizard of Oz,US,en,movie,The Wizard of Oz,1982,"Adventure,Animation,Comedy",6.8,337,0.0
Blackadder,GB,en,tvSeries,Blackadder,1982,Comedy,8.1,34399,0.0
"It's Called 'Murder', Baby",US,en,movie,"It's Called 'Murder', Baby",1983,"Adult,Drama,Mystery",6.1,192,1.0
National Lampoon's Vacation,GB,en,movie,National Lampoon's Vacation,1983,"Adventure,Comedy",7.4,92447,0.0
The Doctor's Pupil,US,en,movie,The Doctor's Pupil,1984,"Comedy,Family,History",7.1,56,0.0
Ghostbusters,US,en,movie,Ghostbusters,1984,"Action,Comedy,Fantasy",7.8,342589,0.0
1984,GB,en,movie,1984,1984,"Drama,Sci-Fi",7.1,63551,0.0
The Fantasies of Miss Jones,US,en,movie,The Fantasies of Miss Jones,1986,"Comedy,Drama,Romance",4.7,132,0.0
Sugar Water,US,en,movie,Secerna vodica,1983,Comedy,7.1,590,0.0
National Lampoon's European Vacation,US,en,movie,National Lampoon's European Vacation,1985,"Adventure,Comedy",6.2,55888,0.0
He-Man and She-Ra: The Secret of the Sword,US,en,movie,He-Man and She-Ra: The Secret of the Sword,1985,"Action,Adventure,Animation",7.2,2286,0.0
